IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
195.133.79.154,443,443,true,AMS,Europe,NL,Amsterdam,276,8.50
213.183.51.219,443,443,true,AMS,Europe,NL,Amsterdam,236,6.66
5.2.67.113,443,443,true,AMS,Europe,NL,Amsterdam,231,4.91
185.103.255.245,443,443,true,AMS,Europe,NL,Amsterdam,219,4.84
158.101.199.249,8443,443,true,AMS,Europe,NL,Amsterdam,184,4.59
91.201.113.193,443,443,true,AMS,Europe,NL,Amsterdam,251,4.28
192.210.160.173,443,443,true,AMS,Europe,NL,Amsterdam,262,4.00
158.180.12.117,443,443,true,AMS,Europe,NL,Amsterdam,211,3.94
192.210.175.111,443,443,true,AMS,Europe,NL,Amsterdam,262,3.76
23.94.107.102,443,443,true,AMS,Europe,NL,Amsterdam,276,3.66
192.236.249.101,443,443,true,AMS,Europe,NL,Amsterdam,271,2.99
192.236.249.111,443,443,true,AMS,Europe,NL,Amsterdam,269,2.96
81.22.132.113,443,443,true,AMS,Europe,NL,Amsterdam,251,2.84
185.204.52.112,443,443,true,AMS,Europe,NL,Amsterdam,285,2.76
89.42.142.79,443,443,true,AMS,Europe,NL,Amsterdam,237,2.74
77.238.237.179,443,443,true,AMS,Europe,NL,Amsterdam,263,2.56
45.82.176.46,443,443,true,AMS,Europe,NL,Amsterdam,236,2.54
192.236.249.90,443,443,true,AMS,Europe,NL,Amsterdam,276,2.16
174.138.8.21,443,443,true,AMS,Europe,NL,Amsterdam,273,2.03
94.103.95.115,443,443,true,AMS,Europe,NL,Amsterdam,274,1.95
107.175.193.164,2096,443,true,AMS,Europe,NL,Amsterdam,276,1.88
154.16.16.24,443,443,true,AMS,Europe,NL,Amsterdam,251,1.73
77.238.226.178,443,443,true,AMS,Europe,NL,Amsterdam,286,1.27
163.5.207.31,443,443,true,AMS,Europe,NL,Amsterdam,231,1.26
192.236.249.92,443,443,true,AMS,Europe,NL,Amsterdam,269,1.17
23.94.107.112,443,443,true,AMS,Europe,NL,Amsterdam,258,1.16
192.236.249.103,443,443,true,AMS,Europe,NL,Amsterdam,262,1.14
192.236.249.107,443,443,true,AMS,Europe,NL,Amsterdam,267,1.03
95.164.62.196,443,443,true,AMS,Europe,NL,Amsterdam,236,0.96
94.142.137.72,443,443,true,AMS,Europe,NL,Amsterdam,190,0.95
192.236.249.88,443,443,true,AMS,Europe,NL,Amsterdam,257,0.70
51.254.6.14,443,443,true,CDG,Europe,FR,Paris,201,0.66
185.94.164.107,443,443,true,AMS,Europe,NL,Amsterdam,200,0.63
192.236.249.99,443,443,true,AMS,Europe,NL,Amsterdam,262,0.41
192.210.255.57,8443,443,true,AMS,Europe,NL,Amsterdam,310,0.15
192.210.255.57,2053,443,true,AMS,Europe,NL,Amsterdam,323,0.14
