IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
154.9.249.242,443,443,true,LAX,North America,US,Los Angeles,181,19.04
129.153.70.168,4433,443,true,LAX,North America,US,Los Angeles,190,14.94
34.144.213.11,80,80,false,LAX,North America,US,Los Angeles,151,14.67
154.26.176.94,8443,443,true,LAX,North America,US,Los Angeles,138,14.54
154.23.172.19,11000,443,true,LAX,North America,US,Los Angeles,145,14.35
154.17.237.56,26749,443,true,LAX,North America,US,Los Angeles,143,14.01
154.17.229.206,443,443,true,LAX,North America,US,Los Angeles,146,13.64
23.185.168.228,443,443,true,LAX,North America,US,Los Angeles,145,13.11
154.17.231.175,56666,443,true,LAX,North America,US,Los Angeles,140,12.73
107.174.81.66,443,443,true,LAX,North America,US,Los Angeles,140,12.03
107.174.85.193,443,443,true,LAX,North America,US,Los Angeles,164,11.90
34.149.242.26,80,80,false,LAX,North America,US,Los Angeles,149,11.56
146.56.190.112,443,443,true,LAX,North America,US,Los Angeles,176,11.39
192.210.193.193,20440,443,true,LAX,North America,US,Los Angeles,149,11.06
192.210.193.193,20000,443,true,LAX,North America,US,Los Angeles,144,11.01
45.12.88.145,8080,443,true,LAX,North America,US,Los Angeles,137,10.92
154.9.241.153,10276,443,true,LAX,North America,US,Los Angeles,194,10.00
91.149.239.70,443,443,true,LAX,North America,US,Los Angeles,153,9.81
23.169.184.28,13800,443,true,LAX,North America,US,Los Angeles,160,8.94
34.117.200.155,80,80,false,LAX,North America,US,Los Angeles,150,8.77
146.56.138.126,443,443,true,LAX,North America,US,Los Angeles,212,8.47
65.75.192.14,58846,443,true,LAX,North America,US,Los Angeles,145,6.71
34.120.39.20,80,80,false,LAX,North America,US,Los Angeles,143,5.16
141.148.143.184,37022,443,true,LAX,North America,US,Los Angeles,165,4.93
129.146.155.104,7771,80,false,LAX,North America,US,Los Angeles,162,4.74
202.5.28.47,15829,443,true,LAX,North America,US,Los Angeles,151,4.61
212.103.62.226,14856,443,true,LAX,North America,US,Los Angeles,146,4.60
146.56.189.241,443,443,true,LAX,North America,US,Los Angeles,203,4.45
192.210.193.193,20121,443,true,LAX,North America,US,Los Angeles,146,3.79
129.146.170.172,443,443,true,LAX,North America,US,Los Angeles,160,3.62
192.210.193.193,20185,443,true,LAX,North America,US,Los Angeles,152,3.58
156.238.252.209,6000,2053,true,LAX,North America,US,Los Angeles,135,3.43
222.104.2.192,18070,443,true,LAX,North America,US,Los Angeles,279,3.29
210.222.30.180,21311,443,true,LAX,North America,US,Los Angeles,279,3.28
59.19.192.51,18888,443,true,LAX,North America,US,Los Angeles,272,3.07
175.208.184.55,13579,443,true,LAX,North America,US,Los Angeles,280,2.76
14.36.155.120,21286,443,true,LAX,North America,US,Los Angeles,286,2.74
218.152.153.20,33422,443,true,LAX,North America,US,Los Angeles,276,2.73
59.22.106.47,15502,443,true,LAX,North America,US,Los Angeles,268,2.53
222.105.138.122,12980,443,true,LAX,North America,US,Los Angeles,274,2.39
14.47.175.40,12152,443,true,LAX,North America,US,Los Angeles,289,2.27
222.113.89.142,12105,443,true,LAX,North America,US,Los Angeles,280,2.22
202.5.28.17,587,443,true,LAX,North America,US,Los Angeles,164,2.17
59.22.106.47,32122,443,true,LAX,North America,US,Los Angeles,274,2.09
220.79.203.126,19016,443,true,LAX,North America,US,Los Angeles,310,2.03
218.157.27.76,12273,443,true,LAX,North America,US,Los Angeles,284,2.03
211.220.55.41,20110,443,true,LAX,North America,US,Los Angeles,272,2.02
61.85.1.77,12088,443,true,LAX,North America,US,Los Angeles,305,2.02
220.126.11.89,20201,443,true,LAX,North America,US,Los Angeles,303,1.99
221.157.224.46,16098,443,true,LAX,North America,US,Los Angeles,289,1.84
112.187.120.140,12103,443,true,LAX,North America,US,Los Angeles,284,1.74
220.86.116.220,10225,443,true,LAX,North America,US,Los Angeles,287,1.67
121.159.68.210,12292,443,true,LAX,North America,US,Los Angeles,285,1.62
220.79.29.86,16040,443,true,LAX,North America,US,Los Angeles,291,1.61
220.85.122.216,12103,443,true,LAX,North America,US,Los Angeles,285,1.33
141.148.187.195,443,443,true,LAX,North America,US,Los Angeles,155,1.28
61.85.1.77,30029,443,true,LAX,North America,US,Los Angeles,306,1.00
91.149.239.206,443,443,true,LAX,North America,US,Los Angeles,146,1.00
221.157.12.225,33622,443,true,LAX,North America,US,Los Angeles,276,0.90
61.85.1.77,12247,443,true,LAX,North America,US,Los Angeles,328,0.87
220.79.29.86,12404,443,true,LAX,North America,US,Los Angeles,270,0.67
156.229.160.32,8080,443,true,LAX,North America,US,Los Angeles,258,0.65
61.85.1.77,12527,443,true,LAX,North America,US,Los Angeles,333,0.27
192.210.193.193,20018,443,true,LAX,North America,US,Los Angeles,143,0.24
192.210.193.193,20201,443,true,LAX,North America,US,Los Angeles,147,0.09
193.122.126.89,443,443,true,LAX,North America,US,Los Angeles,181,0.00
115.23.163.214,19022,443,true,LAX,North America,US,Los Angeles,296,0.00
222.103.112.243,12391,443,true,LAX,North America,US,Los Angeles,273,0.00
137.131.32.16,8843,443,true,LAX,North America,US,Los Angeles,161,0.00
158.101.21.57,2443,443,true,LAX,North America,US,Los Angeles,158,0.00
220.79.203.126,18053,443,true,LAX,North America,US,Los Angeles,288,0.00
174.136.207.24,47025,443,true,LAX,North America,US,Los Angeles,151,0.00
192.210.193.193,20087,0,true,LAX,North America,US,Los Angeles,143,0.00
59.25.246.161,12448,443,true,LAX,North America,US,Los Angeles,275,0.00
34.94.98.138,443,443,true,LAX,North America,US,Los Angeles,155,0.00
23.185.200.188,443,443,true,LAX,North America,US,Los Angeles,153,0.00
