IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.140.56.136,80,80,false,NRT,Asia Pacific,JP,Tokyo,35,3.66
60.205.0.210,80,80,false,NRT,Asia Pacific,JP,Tokyo,49,3.53
139.129.25.209,80,80,false,NRT,Asia Pacific,JP,Tokyo,39,3.51
47.105.108.185,80,80,false,NRT,Asia Pacific,JP,Tokyo,37,3.33
140.238.33.220,50080,80,false,NRT,Asia Pacific,JP,Tokyo,133,0.79
141.147.185.15,443,443,true,NRT,Asia Pacific,JP,Tokyo,202,0.54
152.70.101.24,16667,443,true,NRT,Asia Pacific,JP,Tokyo,119,0.49
152.70.101.24,16056,443,true,NRT,Asia Pacific,JP,Tokyo,159,0.33
47.79.33.117,52311,443,true,NRT,Asia Pacific,JP,Tokyo,74,0.13
13.230.34.30,443,443,true,NRT,Asia Pacific,JP,Tokyo,183,0.04
158.101.154.245,47001,443,true,NRT,Asia Pacific,JP,Tokyo,138,0.03
152.70.101.24,16316,443,true,NRT,Asia Pacific,JP,Tokyo,133,0.02
152.70.101.24,16888,443,true,NRT,Asia Pacific,JP,Tokyo,137,0.01
152.70.101.24,16089,443,true,NRT,Asia Pacific,JP,Tokyo,207,0.00
141.147.185.63,443,443,true,NRT,Asia Pacific,JP,Tokyo,130,0.00
152.70.101.24,16071,443,true,NRT,Asia Pacific,JP,Tokyo,138,0.00
