IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
134.185.119.41,443,443,true,SIN,Asia Pacific,SG,Singapore,110,13.41
8.219.197.196,443,443,true,SIN,Asia Pacific,SG,Singapore,87,10.64
47.237.99.12,443,443,true,SIN,Asia Pacific,SG,Singapore,83,10.41
3.0.50.69,443,443,true,SIN,Asia Pacific,SG,Singapore,74,9.99
54.255.22.244,44333,443,true,SIN,Asia Pacific,SG,Singapore,74,9.60
8.222.205.83,443,443,true,SIN,Asia Pacific,SG,Singapore,85,9.06
54.179.169.191,443,443,true,SIN,Asia Pacific,SG,Singapore,83,8.87
146.56.131.31,443,443,true,SIN,Asia Pacific,SG,Singapore,111,8.76
146.56.173.112,443,443,true,SIN,Asia Pacific,SG,Singapore,115,8.73
158.180.78.180,443,443,true,SIN,Asia Pacific,SG,Singapore,116,7.87
124.156.202.172,443,443,true,SIN,Asia Pacific,SG,Singapore,78,7.68
43.134.167.135,9950,443,true,SIN,Asia Pacific,SG,Singapore,73,7.62
8.222.192.60,30021,443,true,SIN,Asia Pacific,SG,Singapore,87,7.57
158.180.86.134,443,443,true,SIN,Asia Pacific,SG,Singapore,119,7.10
8.219.7.174,443,443,true,SIN,Asia Pacific,SG,Singapore,87,6.69
8.219.218.31,443,443,true,SIN,Asia Pacific,SG,Singapore,82,6.68
43.218.77.16,443,443,true,SIN,Asia Pacific,SG,Singapore,89,6.64
193.123.163.29,443,443,true,SIN,Asia Pacific,SG,Singapore,123,6.46
140.245.76.39,443,443,true,SIN,Asia Pacific,SG,Singapore,115,6.26
134.185.97.184,443,443,true,SIN,Asia Pacific,SG,Singapore,115,5.30
8.219.15.214,443,443,true,SIN,Asia Pacific,SG,Singapore,82,5.05
146.56.164.128,443,443,true,SIN,Asia Pacific,SG,Singapore,120,4.84
152.70.101.174,443,443,true,SIN,Asia Pacific,SG,Singapore,118,4.75
130.162.155.57,443,443,true,SIN,Asia Pacific,SG,Singapore,246,4.71
158.180.66.194,443,443,true,SIN,Asia Pacific,SG,Singapore,114,4.68
132.145.84.219,443,443,true,SIN,Asia Pacific,SG,Singapore,108,4.45
146.56.180.8,443,443,true,SIN,Asia Pacific,SG,Singapore,116,4.40
8.219.182.180,443,443,true,SIN,Asia Pacific,SG,Singapore,82,4.00
13.250.131.37,443,443,true,SIN,Asia Pacific,SG,Singapore,73,3.97
158.180.85.26,443,443,true,SIN,Asia Pacific,SG,Singapore,123,3.96
134.185.119.136,443,443,true,SIN,Asia Pacific,SG,Singapore,112,3.87
3.1.116.161,2053,443,true,SIN,Asia Pacific,SG,Singapore,76,3.44
43.134.5.209,8080,443,true,SIN,Asia Pacific,SG,Singapore,78,3.32
43.128.95.110,40029,443,true,SIN,Asia Pacific,SG,Singapore,78,2.94
43.134.191.217,9811,443,true,SIN,Asia Pacific,SG,Singapore,79,2.73
8.222.165.99,443,443,true,SIN,Asia Pacific,SG,Singapore,75,2.15
43.128.111.158,4439,443,true,SIN,Asia Pacific,SG,Singapore,229,1.98
8.222.147.221,443,443,true,SIN,Asia Pacific,SG,Singapore,80,1.97
13.229.159.215,443,443,true,SIN,Asia Pacific,SG,Singapore,78,1.64
129.154.209.113,443,443,true,SIN,Asia Pacific,SG,Singapore,111,1.01
54.169.229.188,443,443,true,SIN,Asia Pacific,SG,Singapore,76,0.83
43.156.116.194,443,443,true,SIN,Asia Pacific,SG,Singapore,75,0.47
43.156.181.97,4646,443,true,SIN,Asia Pacific,SG,Singapore,218,0.30
8.222.159.134,12314,443,true,SIN,Asia Pacific,SG,Singapore,81,0.13
13.215.210.26,33338,443,true,SIN,Asia Pacific,SG,Singapore,74,0.12
47.236.181.185,8443,443,true,SIN,Asia Pacific,SG,Singapore,88,0.10
168.138.184.172,443,0,true,SIN,Asia Pacific,SG,Singapore,80,0.00
