IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
54.153.59.106,80,443,true,SJC,North America,US,San Jose,133,12.14
204.110.220.52,80,443,true,SJC,North America,US,San Jose,169,11.95
204.110.220.221,80,443,true,SJC,North America,US,San Jose,140,11.88
67.226.221.41,80,443,true,SJC,North America,US,San Jose,148,11.63
192.210.196.158,36414,443,true,SJC,North America,US,San Jose,154,6.99
107.172.180.73,3306,443,true,SJC,North America,US,San Jose,165,5.95
198.23.254.51,443,443,true,SJC,North America,US,San Jose,160,5.86
107.174.192.67,42522,443,true,SJC,North America,US,San Jose,143,5.17
155.248.195.11,9710,443,true,SJC,North America,US,San Jose,154,4.79
192.9.156.27,587,443,true,SJC,North America,US,San Jose,135,4.46
107.173.111.232,20107,443,true,SJC,North America,US,San Jose,142,4.39
192.18.138.215,1111,443,true,SJC,North America,US,San Jose,151,4.03
146.235.199.164,443,443,true,SJC,North America,US,San Jose,149,3.67
121.160.125.55,10008,443,true,SJC,North America,US,San Jose,278,3.07
112.170.112.178,36322,443,true,SJC,North America,US,San Jose,286,2.51
175.215.205.40,12580,443,true,SJC,North America,US,San Jose,271,2.09
210.99.119.3,12549,443,true,SJC,North America,US,San Jose,304,1.41
222.105.138.122,21273,443,true,SJC,North America,US,San Jose,293,1.23
43.155.20.137,8250,443,true,SJC,North America,US,San Jose,46,1.10
67.226.221.221,80,443,true,SJC,North America,US,San Jose,154,1.03
168.126.210.143,12522,443,true,SJC,North America,US,San Jose,277,0.98
23.95.222.211,58443,8443,true,SJC,North America,US,San Jose,139,0.74
119.204.37.43,14895,443,true,LAX,North America,US,Los Angeles,279,0.66
107.172.103.195,16092,443,true,SJC,North America,US,San Jose,140,0.21
67.226.221.134,80,443,true,SJC,North America,US,San Jose,135,0.19
184.169.181.217,443,443,true,SJC,North America,US,San Jose,170,0.15
107.172.103.195,16040,443,true,SJC,North America,US,San Jose,141,0.14
107.172.103.195,16064,443,true,SJC,North America,US,San Jose,149,0.13
107.172.103.195,16036,443,true,SJC,North America,US,San Jose,160,0.13
107.172.103.195,16080,443,true,SJC,North America,US,San Jose,173,0.12
107.172.103.195,16018,443,true,SJC,North America,US,San Jose,136,0.12
107.172.103.195,16014,443,true,SJC,North America,US,San Jose,143,0.12
107.172.103.195,16077,443,true,SJC,North America,US,San Jose,139,0.11
107.172.103.195,16031,443,true,SJC,North America,US,San Jose,153,0.11
107.172.103.195,16050,443,true,SJC,North America,US,San Jose,145,0.11
47.79.92.16,443,443,true,SJC,North America,US,San Jose,48,0.11
107.172.103.195,16005,443,true,SJC,North America,US,San Jose,135,0.11
107.172.103.195,16041,443,true,SJC,North America,US,San Jose,150,0.10
107.172.103.195,16067,443,true,SJC,North America,US,San Jose,143,0.10
107.172.103.195,16019,443,true,SJC,North America,US,San Jose,140,0.10
204.110.220.156,80,443,true,SJC,North America,US,San Jose,154,0.09
107.172.103.195,16049,443,true,SJC,North America,US,San Jose,149,0.09
107.172.103.195,16007,443,true,SJC,North America,US,San Jose,142,0.09
107.172.103.195,16097,443,true,SJC,North America,US,San Jose,140,0.09
107.172.103.195,16069,443,true,SJC,North America,US,San Jose,145,0.09
107.175.214.251,8000,443,true,SJC,North America,US,San Jose,154,0.09
107.172.103.195,16038,443,true,SJC,North America,US,San Jose,142,0.08
204.110.220.3,80,443,true,SJC,North America,US,San Jose,168,0.08
107.172.103.195,16055,443,true,SJC,North America,US,San Jose,141,0.08
107.173.34.130,2053,443,true,SJC,North America,US,San Jose,149,0.07
67.226.221.202,80,443,true,SJC,North America,US,San Jose,181,0.07
107.172.103.195,16079,443,true,SJC,North America,US,San Jose,143,0.07
67.226.221.234,80,443,true,SJC,North America,US,San Jose,161,0.07
67.226.221.46,80,443,true,SJC,North America,US,San Jose,157,0.06
107.172.103.195,16054,443,true,SJC,North America,US,San Jose,148,0.06
107.172.103.195,16076,443,true,SJC,North America,US,San Jose,145,0.00
107.172.103.195,16070,443,true,SJC,North America,US,San Jose,143,0.00
