IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
47.79.92.16,443,443,true,SJC,North America,US,San Jose,59,19.03
192.227.247.75,443,443,true,LAX,North America,US,Los Angeles,209,15.65
3.0.50.69,443,443,true,SIN,Asia Pacific,SG,Singapore,75,15.57
129.154.194.230,443,443,true,SIN,Asia Pacific,SG,Singapore,237,15.12
154.21.83.154,443,443,true,LAX,North America,US,Los Angeles,138,14.37
31.25.88.236,443,443,true,FRA,Europe,DE,Frankfurt,166,13.29
91.149.239.70,443,443,true,LAX,North America,US,Los Angeles,204,12.63
195.133.79.154,443,443,true,AMS,Europe,NL,Amsterdam,237,11.98
91.149.239.122,443,443,true,LAX,North America,US,Los Angeles,208,11.71
158.180.66.194,443,443,true,SIN,Asia Pacific,SG,Singapore,112,11.60
185.212.60.148,443,443,true,AMS,Europe,NL,Amsterdam,152,11.16
144.24.65.185,443,443,true,SIN,Asia Pacific,SG,Singapore,119,10.73
13.54.198.183,443,443,true,SYD,Oceania,AU,Sydney,242,10.36
8.219.7.174,443,443,true,SIN,Asia Pacific,SG,Singapore,76,10.21
155.248.182.253,443,443,true,SIN,Asia Pacific,SG,Singapore,230,10.14
141.147.65.142,443,443,true,FRA,Europe,DE,Frankfurt,232,9.86
23.95.221.187,443,443,true,MAN,Europe,GB,Manchester,173,9.33
130.162.155.57,443,443,true,SIN,Asia Pacific,SG,Singapore,116,9.23
8.219.213.146,443,443,true,SIN,Asia Pacific,SG,Singapore,77,9.08
131.186.18.23,443,443,true,SIN,Asia Pacific,SG,Singapore,246,8.93
140.245.76.39,443,443,true,SIN,Asia Pacific,SG,Singapore,112,8.90
103.137.63.3,443,443,true,KHH,Asia Pacific,TW,Kaohsiung City,73,8.76
146.56.173.112,443,443,true,SIN,Asia Pacific,SG,Singapore,115,8.64
154.9.248.216,443,443,true,LAX,North America,US,Los Angeles,146,8.55
35.95.237.8,443,443,true,PDX,North America,US,Portland,206,8.22
152.69.232.55,443,443,true,SIN,Asia Pacific,SG,Singapore,121,8.15
135.225.92.78,443,443,true,ARN,Europe,SE,Stockholm,265,7.96
13.233.5.49,443,443,true,BOM,Asia Pacific,IN,Mumbai,157,7.78
