IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
152.70.155.147,443,443,TRUE,LAX,North America,US,Los Angeles,197,12.11
3.98.73.243,443,443,TRUE,YUL,North America,CA,Montréal,213,8.32
44.227.78.80,443,443,TRUE,PDX,North America,US,Portland,195,8.28
3.75.170.179,443,443,TRUE,FRA,Europe,DE,Frankfurt,225,8.16
54.208.96.155,443,443,TRUE,IAD,North America,US,Ashburn,223,8.1
2.59.183.77,443,443,TRUE,AMS,Europe,NL,Amsterdam,253,10.32
66.85.139.204,443,443,TRUE,PHX,North America,US,Phoenix,189,9.98
141.144.204.136,443,443,TRUE,FRA,Europe,DE,Frankfurt,211,8.88
8.219.154.120,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,225,8.14
2.59.183.25,443,443,TRUE,AMS,Europe,NL,Amsterdam,242,8.09
141.144.206.12,443,443,TRUE,FRA,Europe,DE,Frankfurt,200,11.04
3.70.231.136,443,443,TRUE,FRA,Europe,DE,Frankfurt,225,10.63
44.226.147.29,443,443,TRUE,PDX,North America,US,Portland,228,9.67
2.59.183.26,443,443,TRUE,AMS,Europe,NL,Amsterdam,205,9.12
192.3.155.203,443,443,TRUE,BUF,North America,US,Buffalo,220,14.62
3.0.50.69,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,81,12.14
44.227.209.152,443,443,TRUE,PDX,North America,US,Portland,189,9.73
13.230.34.30,443,443,TRUE,NRT,Asia Pacific,JP,Tokyo,86,27.12
47.128.248.126,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,75,26.83
8.20.125.1,443,443,TRUE,SFO,North America,US,San Francisco,152,22.63
18.222.50.18,443,443,TRUE,CMH,North America,US,Columbus,212,16.45
91.149.239.122,443,443,TRUE,LAX,North America,US,Los Angeles,149,14.4
15.236.133.224,443,443,TRUE,CDG,Europe,FR,Paris,245,14.27
67.226.221.49,443,443,TRUE,SJC,North America,US,San Jose,151,13.07
67.226.221.7,443,443,TRUE,SJC,North America,US,San Jose,143,12.83
31.129.48.139,443,443,TRUE,LED,Europe,RU,Saint Petersburg,230,12.54
37.123.192.147,443,443,TRUE,SJC,North America,US,San Jose,136,11.85
34.208.221.169,443,443,TRUE,PDX,North America,US,Portland,175,11.18
185.140.12.239,443,443,TRUE,FRA,Europe,DE,Frankfurt,153,11.17
52.55.146.127,443,443,TRUE,IAD,North America,US,Ashburn,193,11.15
18.135.67.188,443,443,TRUE,LHR,Europe,GB,London,180,11.14
89.42.142.220,443,443,TRUE,AMS,Europe,NL,Amsterdam,171,10.6
52.56.249.142,443,443,TRUE,LHR,Europe,GB,London,199,10.18
3.239.16.253,443,443,TRUE,IAD,North America,US,Ashburn,221,10.03
18.171.225.60,443,443,TRUE,LHR,Europe,GB,London,187,10
35.176.229.223,443,443,TRUE,LHR,Europe,GB,London,192,9.98
49.51.179.33,443,443,TRUE,SJC,North America,US,San Jose,135,9.92
2.59.183.25,443,443,TRUE,AMS,Europe,NL,Amsterdam,214,9.82
141.148.239.211,443,443,TRUE,FRA,Europe,DE,Frankfurt,199,9.77
193.168.143.152,443,443,TRUE,VIE,Europe,AT,Vienna,197,9.5
67.226.223.139,443,443,TRUE,LHR,Europe,GB,London,186,9.39
3.215.143.191,443,443,TRUE,IAD,North America,US,Ashburn,195,9.37
34.230.210.239,443,443,TRUE,IAD,North America,US,Ashburn,211,9.31
18.197.218.69,443,443,TRUE,FRA,Europe,DE,Frankfurt,197,9.3
144.24.94.21,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,218,9.24
51.254.6.14,443,443,TRUE,CDG,Europe,FR,Paris,182,9.18
178.32.58.147,443,443,TRUE,CDG,Europe,FR,Paris,175,8.83
34.193.164.187,443,443,TRUE,IAD,North America,US,Ashburn,222,8.39
3.8.196.62,443,443,TRUE,LHR,Europe,GB,London,215,8.39
193.123.62.151,443,443,TRUE,FRA,Europe,DE,Frankfurt,200,8.15
143.47.180.55,443,443,TRUE,FRA,Europe,DE,Frankfurt,198,8.15
141.148.233.196,443,443,TRUE,FRA,Europe,DE,Frankfurt,175,8.1
158.180.91.186,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,211,8.08
143.47.177.228,443,443,TRUE,FRA,Europe,DE,Frankfurt,217,8.04
35.183.163.195,443,443,TRUE,YUL,North America,CA,Montréal,225,8.03
3.0.50.69,443,443,TRUE,SIN,Asia Pacific,SG,Singapore,84,24.17
47.79.92.16,443,443,TRUE,SJC,North America,US,San Jose,44,23.65
8.20.125.1,443,443,TRUE,SFO,North America,US,San Francisco,145,21.82
49.51.179.33,443,443,TRUE,SJC,North America,US,San Jose,134,21.52
154.9.249.242,443,443,TRUE,LAX,North America,US,Los Angeles,160,18.29
16.162.225.15,443,443,TRUE,HKG,Asia Pacific,HK,Hong Kong,120,17.8
154.21.83.154,443,443,TRUE,LAX,North America,US,Los Angeles,136,16.55
185.212.60.148,443,443,TRUE,AMS,Europe,NL,Amsterdam,187,15.72
107.174.253.75,443,443,TRUE,SJC,North America,US,San Jose,135,14.57
18.167.172.112,443,443,TRUE,HKG,Asia Pacific,HK,Hong Kong,120,13.81
52.38.6.43,443,443,TRUE,PDX,North America,US,Portland,184,12.7
18.184.27.249,443,443,TRUE,FRA,Europe,DE,Frankfurt,169,12.64
23.185.168.228,443,443,TRUE,LAX,North America,US,Los Angeles,142,12.6
95.181.151.172,443,443,TRUE,FRA,Europe,DE,Frankfurt,231,11.53
141.144.202.88,443,443,TRUE,FRA,Europe,DE,Frankfurt,195,11.47
89.42.142.79,443,443,TRUE,AMS,Europe,NL,Amsterdam,198,11.06
192.210.175.108,443,443,TRUE,AMS,Europe,NL,Amsterdam,226,10.91
44.227.78.80,443,443,TRUE,PDX,North America,US,Portland,168,10.83
81.22.132.219,443,443,TRUE,AMS,Europe,NL,Amsterdam,203,10.49
158.101.214.160,443,443,TRUE,FRA,Europe,DE,Frankfurt,226,10.39
18.159.105.97,443,443,TRUE,FRA,Europe,DE,Frankfurt,168,10
143.47.179.35,443,443,TRUE,FRA,Europe,DE,Frankfurt,165,9.94
84.235.175.113,443,443,TRUE,FRA,Europe,DE,Frankfurt,194,9.82
150.230.21.186,443,443,TRUE,FRA,Europe,DE,Frankfurt,195,9.66
2.59.183.26,443,443,TRUE,AMS,Europe,NL,Amsterdam,165,9.63
185.103.109.139,443,443,TRUE,ARN,Europe,SE,Stockholm,233,9.59
5.61.57.62,443,443,TRUE,AMS,Europe,NL,Amsterdam,193,9.54
163.53.246.130,443,443,TRUE,HKG,Asia Pacific,HK,Hong Kong,46,9.52
81.22.132.44,443,443,TRUE,AMS,Europe,NL,Amsterdam,156,9.5
